nci_id,nct_id,protocol_id,ccr_id,ctep_id,dcp_id,other_ids__name,other_ids__value,associated_studies__study_id,associated_studies__study_id_type,outcome_measures__name,outcome_measures__description,outcome_measures__timeframe,outcome_measures__type_code,amendment_date,current_trial_status,current_trial_status_date,start_date,start_date_type_code,completion_date,completion_date_type_code,record_verification_date,brief_title,official_title,acronym,keywords,brief_summary,detail_description,classification_code,interventional_model,study_source,accepts_healthy_volunteers_indicator,study_protocol_type,study_subtype_code,study_population_description,study_model_code,study_model_other_text,sampling_method_code,bio_specimen__f1,bio_specimen__f2,bio_specimen__f3,bio_specimen__f4,primary_purpose__primary_purpose_code,primary_purpose__primary_purpose_other_text,primary_purpose__primary_purpose_additional_qualifier_code,phase__phase,phase__phase_other_text,phase__phase_additional_qualifier_code,masking__masking,masking__masking_allocation_code,masking__masking_role_investigator,masking__masking_role_outcome_assessor,masking__masking_role_subject,masking__masking_role_caregiver,principal_investigator,central_contact__central_contact_email,central_contact__central_contact_name,central_contact__central_contact_phone,central_contact__central_contact_type,lead_org,collaborators__name,collaborators__functional_role,sites__contact_email,sites__contact_name,sites__contact_phone,sites__recruitment_status,sites__recruitment_status_date,sites__local_site_identifier,sites__org_address_line_1,sites__org_address_line_2,sites__org_city,sites__org_country,sites__org_email,sites__org_family,sites__org_fax,sites__org_name,sites__org_to_family_relationship,sites__org_phone,sites__org_postal_code,sites__org_state_or_province,sites__org_status,sites__org_status_date,sites__org_tty,sites__org_va,sites__org_coordinates__lat,sites__org_coordinates__lon,anatomic_sites__-,diseases__inclusion_indicator,diseases__lead_disease_indicator,diseases__nci_thesaurus_concept_id,diseases__preferred_name,diseases__display_name,diseases__paths__direction,diseases__paths__concepts__idx,diseases__paths__concepts__label,diseases__paths__concepts__code,diseases__type__001,diseases__type__002,diseases__synonyms__-,diseases__synonyms,diseases__parents__001,diseases__parents__002,diseases__parents__003,biomarkers,minimum_target_accrual_number,eligibility__structured__gender,eligibility__structured__max_age,eligibility__structured__max_age_number,eligibility__structured__max_age_unit,eligibility__structured__min_age,eligibility__structured__min_age_number,eligibility__structured__min_age_unit,eligibility__structured__max_age_in_years,eligibility__structured__min_age_in_years,eligibility__unstructured__display_order,eligibility__unstructured__inclusion_indicator,eligibility__unstructured__description,number_of_arms,arms__arm_name,arms__arm_type,arms__arm_description,arms__interventions__intervention_name,arms__interventions__intervention_type,arms__interventions__intervention_code,arms__interventions__intervention_description,arms__interventions__parents__001,arms__interventions__parents__002,arms__interventions__parents__003,arms__interventions__inclusion_indicator,arms__interventions__synonyms__-,arms__interventions__synonyms,arms__interventions__intervention_category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,72 King William Road,null,North Adelaide,Australia,cywhs.oncsec@health.sa.gov.au,null,null,Women's and Children's Hospital-Adelaide,null,null,5006,South Australia,ACTIVE,2/4/13,null,FALSE,,,,TREE,YES,C2934,Central Nervous System Disorder,Central Nervous System Disorder,,,,,subtype,,,Central Nervous System Disease,C26835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radiotherapeutics,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,2801 Atlantic Avenue,null,Long Beach,United States,null,Jonsson Comprehensive Cancer Center,null,Miller Children's and Women's Hospital Long Beach,AFFILIATION,562-933-5600,90806,CA,ACTIVE,3/19/15,null,FALSE,33.8078,-118.1736,,,,,,,,,,,,,,Disorder of Central Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radiotherapy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,askroswell@roswellpark.org,Site Public Contact,800-767-9355,CLOSED_TO_ACCRUAL,9/7/18,,Elm and Carlton Streets,null,Buffalo,United States,askroswell@roswellpark.org,Roswell Park Cancer Institute,null,Roswell Park Cancer Institute,ORGANIZATIONAL,877-275-7724,14263,NY,ACTIVE,7/3/18,null,FALSE,42.8868,-78.8765,,TREE,YES,C3262,Neoplasm,Other Neoplasm,,,,,maintype,,,Neoplasia,C2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Therapy, Radiation",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,4900 Mueller Boulevard,null,Austin,United States,TXAUS-DL-SFCHemonc.research@ascension.org,null,null,Dell Children's Medical Center of Central Texas,null,512-324-8022,78723,TX,ACTIVE,12/31/08,null,FALSE,30.3039,-97.6862,,,,,,,,,,,,,,Neoplasm,,,,,,,,,,,,,,,,,,,,,,Quality-of-Life Assessment,Other,C15584,null,C15747,,,TRIAL,Quality of Life Assessment,,Other
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,877-312-3961,CLOSED_TO_ACCRUAL,9/7/18,,1515 Holcombe Boulevard,null,Houston,United States,askmdanderson@mdanderson.org,MD Anderson Cancer Center,null,M D Anderson Cancer Center,ORGANIZATIONAL,877-632-6789,77030,TX,ACTIVE,4/29/19,null,FALSE,29.7059,-95.4026,,,,,,,,,,,,,,"Neoplasm, NOS",,,,,,,,,,,,,,,,,,,,,,Laboratory Biomarker Analysis,Other,C64263,null,C63333,C74957,,TRIAL,,,Other
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CancerClinicalTrials@orlandohealth.com,Site Public Contact,321-841-7246,CLOSED_TO_ACCRUAL,3/13/14,,1400 South Orange,null,Orlando,United States,null,null,null,UF Cancer Center at Orlando Health,null,800-648-3817,32806,FL,ACTIVE,1/31/14,null,FALSE,28.5125,-81.3614,,,,,,,,,,,,,,"Neoplasms, NOS",,,,,,,,,,,,,,,,,,,,,,Filgrastim,Biological / Vaccine,C1474,"A recombinant, non-glycosylated cytokine which is chemically identical to or similar to the endogenous cytokine human granulocyte colony-stimulating factor (G-CSF) isoform B, with immunomodulating activity. Filgrastim binds to and activates G-CSF receptors with the same biological activity and stability as the endogenous cytokine, thereby controlling the production, differentiation, and function of neutrophilic granulocyte progenitors. Check for active clinical trials or closed clinical trials using this agent. (NCI Thesaurus)Health professional",C387,,,TRIAL,,Neupogen,Agent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,914-594-3794,CLOSED_TO_ACCRUAL,9/28/13,,40 Sunshine Cottage Road,null,Valhalla,United States,null,null,null,New York Medical College,null,914-594-3794,10595,NY,ACTIVE,7/27/15,null,FALSE,41.0861,-73.7807,,,,,,,,,,,,,,Neoplastic Disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tevagrastim,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catherine.cole@health.wa.gov.au,Site Public Contact,(08) 9340 8222,CLOSED_TO_ACCRUAL,8/8/18,,Roberts Road,Subiaco,Perth,Australia,catherine.cole@health.wa.gov.au,null,null,Princess Margaret Hospital for Children,null,null,6008,Western Australia,INACTIVE,4/25/20,null,FALSE,,,,,,,,,,,,,,,,Neoplastic Growth,,,,,,,,,,,,,,,,,,,,,,Immunosuppressant,Drug,C574,,C308,,,TREE,Immunosuppressive Agents,,Agent Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,808-983-6090,CLOSED_TO_ACCRUAL,9/7/18,,1319 Punahou Street,null,Honolulu,United States,null,University of Hawaii Cancer Center,null,Kapiolani Medical Center for Women and Children,AFFILIATION,808-983-6090,96826,HI,ACTIVE,7/24/15,null,FALSE,21.2952,-157.8291,,,,,,,,,,,,,,"Tumor, NOS",,,,,,,,,,,,,,,,,,,,,,Immunotherapy,Drug,C308,,C1909,,,TREE,,BRM,Agent Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@skion.nl,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,Heidelberglaan 25,null,Utrecht,Netherlands,info@skion.nl,null,null,Dutch Childhood Oncology Group,null,null,3584 CS,null,ACTIVE,12/30/08,null,FALSE,,,,,,,,,,,,,,,,neoplasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biological Response Modifier,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canceranswers@yale.edu,Site Public Contact,203-785-5702,CLOSED_TO_ACCRUAL,9/7/18,,333 Cedar Street,null,New Haven,United States,canceranswers@yale.edu,Yale Cancer Center,null,Yale University,ORGANIZATIONAL,203-785-5702,6520,CT,ACTIVE,5/26/10,null,FALSE,41.31,-72.9291,,,,,,,,,,,,,,neoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biomodulators,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joanne.loeb@rwjbh.org,Site Public Contact,973-322-2934,CLOSED_TO_ACCRUAL,9/7/18,,94 Old Short Hill Road,null,Livingston,United States,joanne.loeb@rwjbh.org,Rutgers Cancer Institute of New Jersey,null,Saint Barnabas Medical Center,ORGANIZATIONAL,973-322-2470,7039,NJ,ACTIVE,12/31/08,null,FALSE,40.7857,-74.3293,,,,,,,,,,,,,,tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immune Mediators,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,800-437-4010,CLOSED_TO_ACCRUAL,9/7/18,,801 Broadway North,null,Fargo,United States,OncologyClinicalTrialsFargo@sanfordhealth.org,null,null,Sanford Broadway Medical Center,null,800-437-4010,58122,ND,ACTIVE,9/28/18,null,FALSE,46.8846,-96.7842,,TREE,YES,C4788,Malignant Nervous System Neoplasm,Malignant Nervous System Neoplasm,,,,,subtype,,,Malignant Neoplasm of Nervous System,C9305,C3268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immune Modulators,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,517-975-9547,CLOSED_TO_ACCRUAL,9/7/18,,804 Service Road,null,East Lansing,United States,null,null,null,Michigan State University Clinical Center,null,517-334-2765,48824-7016,MI,ACTIVE,6/26/14,null,FALSE,,,,,,,,,,,,,,,,Malignant Neoplasm of the Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immune Regulators,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,8200 Dodge Street,null,Omaha,United States,null,Fred & Pamela Buffett Cancer Center,null,Children's Hospital and Medical Center of Omaha,AFFILIATION,402-955-3949,68114,NE,ACTIVE,4/27/20,null,FALSE,41.2627,-96.0508,,,,,,,,,,,,,,Malignant Nervous System Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immunomodulating Agent,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,3533 South Alameda Street,null,Corpus Christi,United States,Crystal.DeLosSantos@dchstx.org,null,null,Driscoll Children's Hospital,null,361-694-5311,78411,TX,ACTIVE,12/31/08,null,FALSE,27.7297,-97.3858,,,,,,,,,,,,,,Malignant Tumor of Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immunomodulators,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stephanie.couch@stjoeshealth.org,Site Public Contact,734-712-3671,CLOSED_TO_ACCRUAL,9/7/18,,1200 South Cedar Crest Boulevard,Pharmacy Department,Allentown,United States,stephanie.couch@stjoeshealth.org,null,null,Lehigh Valley Hospital-Cedar Crest,null,610-402-2273,18103,PA,ACTIVE,7/6/15,null,FALSE,40.5705,-75.4824,,,,,,,,,,,,,,Malignant Tumor of the Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immunomodulatory Agent,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mwellons@vcu.edu,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,401 College Street,null,Richmond,United States,klcampbell@vcu.edu,Massey Cancer Center,null,Virginia Commonwealth University / Massey Cancer Center,ORGANIZATIONAL,804-628-1939,23298,VA,INACTIVE,10/19/19,null,FALSE,37.5427,-77.4296,,,,,,,,,,,,,,"Nervous System Neoplasms, Malignant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immunopotentiators,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,902-470-6767,CLOSED_TO_ACCRUAL,9/7/18,,5850/5980 University Avenue,Pharmacy Department Box 9700,Halifax,Canada,null,null,null,IWK Health Centre,null,null,B3K 6R8,Nova Scotia,ACTIVE,11/30/12,null,FALSE,,,,TREE,YES,C170814,Primary Brain Neoplasm,Primary Brain Neoplasm,,,,,subtype,,,,C102871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immunotherapy Agent,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cancerclinicaltrials@med.unc.edu,Site Public Contact,877-668-0683,CLOSED_TO_ACCRUAL,9/7/18,,450 West Drive,Lineberger Comprehensive Cancer Center Third Floor Administrative Tower CB 7295,Chapel Hill,United States,cancerclinicaltrials@med.unc.edu,UNC Lineberger Comprehensive Cancer Center,null,UNC Lineberger Comprehensive Cancer Center,ORGANIZATIONAL,null,27599,NC,ACTIVE,1/11/16,null,FALSE,35.9134,-79.0561,,TREE,NO,C2907,Brain Neoplasm,Brain Tumor,,,,,subtype,,,Brain Neoplasm,C96413,C4953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immunotherapeutic Agent,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,602 Indiana Avenue,null,Lubbock,United States,null,null,null,UMC Cancer Center / UMC Health System,null,null,79415,TX,ACTIVE,9/13/19,null,FALSE,33.6248,-101.8817,,,,,,,,,,,,,,Brain Neoplasms,,,,,,,,,,,,,,,,,,,,,,Pharmacologic Substance,Drug,C1909,,C1908,,,TREE,,Agent,Agent Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,research@sncrf.org,Site Public Contact,702-384-0013,CLOSED_TO_ACCRUAL,9/7/18,,3186 South Maryland Parkway,null,Las Vegas,United States,research@sncrf.org,null,null,Sunrise Hospital and Medical Center,null,702-731-8274,89109,NV,ACTIVE,8/28/19,null,FALSE,36.1362,-115.1573,,,,,,,,,,,,,,Neoplasm of Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,1600 Seventh Avenue South,null,Birmingham,United States,oncologyresearch@peds.uab.edu,O’Neal Comprehensive Cancer Center,null,Children's Hospital of Alabama,ORGANIZATIONAL,205-638-9285,35233,AL,ACTIVE,3/20/19,null,FALSE,33.5089,-86.8014,,,,,,,,,,,,,,Neoplasm of the Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug Substance,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,301-319-2100,CLOSED_TO_ACCRUAL,9/7/18,,8901 Rockville Pike,null,Bethesda,United States,null,null,null,Walter Reed National Military Medical Center,null,301-319-2100,20889-5600,MD,ACTIVE,12/17/12,null,FALSE,,,,,,,,,,,,,,,,Tumor of Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmaceutical Agent,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MACCCTO@mcw.edu,Site Public Contact,414-955-4727,CLOSED_TO_ACCRUAL,9/7/18,,9000 West Wisconsin Avenue,null,Milwaukee,United States,MACCCTO@mcw.edu,null,null,Children's Hospital of Wisconsin,null,414-456-4106,53226,WI,ACTIVE,11/15/16,null,FALSE,43.0503,-88.0423,,,,,,,,,,,,,,Tumor of the Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmaceuticals,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hcc-clinical-trials@musc.edu,Site Public Contact,843-792-9321,CLOSED_TO_ACCRUAL,9/7/18,,171 Ashley Avenue,null,Charleston,United States,hcc-clinical-trials@musc.edu,Hollings Cancer Center,null,Medical University of South Carolina,ORGANIZATIONAL,843-792-9321,29425,SC,ACTIVE,12/31/08,null,FALSE,32.7799,-79.9416,,,,,,,,,,,,,,brain tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmacologic Agent,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,806-354-5411,CLOSED_TO_ACCRUAL,5/22/14,,1400 South Coulter Street,null,Amarillo,United States,null,null,null,Texas Tech University Health Sciences Center-Amarillo,null,806-354-5411,79106,TX,ACTIVE,4/14/17,null,FALSE,35.2012,-101.956,,TREE,NO,C96413,Brain Disorder,Brain Disorder,,,,,subtype,,,,C2934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmacologic Substance,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,877-827-3222,CLOSED_TO_ACCRUAL,2/2/15,,505 Parnassus Avenue,null,San Francisco,United States,null,UCSF Helen Diller Family Comprehensive Cancer Center,null,UCSF Medical Center-Parnassus,ORGANIZATIONAL,877-827-3222,94143,CA,ACTIVE,5/5/15,null,FALSE,37.7616,-122.4584,,TREE,NO,C4953,Intracranial Neoplasm,Intracranial Neoplasm,,,,,subtype,,,Intracranial Central Nervous System Neoplasm,C9293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmacological Substance,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,404 Keene Street,null,Columbia,United States,null,null,null,Columbia Regional,null,null,65201,MO,ACTIVE,12/31/08,null,FALSE,38.8994,-92.2391,,,,,,,,,,,,,,Intracranial Central Nervous System Tumor,,,,,,,,,,,,,,,,,,,,,,"Drug, Food, Chemical or Biomedical Material",Drug,C1908,,,,,TREE,,,Agent Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mamcdci@amedd.army.mil,Site Public Contact,253-968-0129,CLOSED_TO_ACCRUAL,9/7/18,,9040A Jackson Avenue,null,Tacoma,United States,mamcdci@amedd.army.mil,null,null,Madigan Army Medical Center,null,null,98431,WA,ACTIVE,12/6/12,null,FALSE,47.1056,-122.5505,,,,,,,,,,,,,,Intracranial Tumor,,,,,,,,,,,,,,,,,,,,,,Nitrogen Mustard Compound,Drug,C697,,C2114,,,TREE,,,Agent Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,305-243-2647,CLOSED_TO_ACCRUAL,9/7/18,,1475 Northwest 12th Avenue,null,Miami,United States,null,Sylvester Comprehensive Cancer Center,null,University of Miami Miller School of Medicine-Sylvester Cancer Center,ORGANIZATIONAL,305-243-2647,33136,FL,ACTIVE,12/5/16,null,FALSE,25.7869,-80.2039,,,,,,,,,,,,,,intracranial tumor,,,,,,,,,,,,,,,,,,,,,,Mustard Agent,Drug,C2114,,C1590,,,TREE,,,Agent Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,1405 Clifton Road Northeast,null,Atlanta,United States,Leann.Schilling@choa.org,Winship Cancer Institute of Emory University,null,Children's Healthcare of Atlanta - Egleston,ORGANIZATIONAL,888-785-1112,30322,GA,ACTIVE,12/30/08,null,FALSE,33.792,-84.3239,,TREE,YES,C9305,Malignant Neoplasm,Malignant Neoplasm,,,,,subtype,,,CA,C7062,,,,,,,,,,,,,,,,,,,,,Antineoplastic Alkylating Agent,Drug,C1590,,C274,,,TREE,,Chemotherapy Alkylating Agents,Agent Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,601-815-6700,CLOSED_TO_ACCRUAL,9/7/18,,2500 North State Street,null,Jackson,United States,null,null,null,University of Mississippi Medical Center,null,601-815-6700,39216,MS,ACTIVE,7/27/15,null,FALSE,32.3333,-90.1625,,,,,,,,,,,,,,Cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemotherapy Alkylators,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oncology.clinical.trials@marshfieldresearch.org,Site Public Contact,800-782-8581,CLOSED_TO_ACCRUAL,9/7/18,,1000 North Oak Avenue,null,Marshfield,United States,oncology.clinical.trials@marshfieldresearch.org,null,null,Marshfield Medical Center-Marshfield,null,800-782-1581x94457,54449,WI,ACTIVE,1/28/19,null,FALSE,44.6413,-90.1945,,,,,,,,,,,,,,Malignancy,,,,,,,,,,,,,,,,,,,,,,Antineoplastic Agent,Drug,C274,,C1909,,,TREE,,Anti-Cancer Agents,Agent Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,865-541-8266,CLOSED_TO_ACCRUAL,9/7/18,,2018 Clinch Avenue Southwest,null,Knoxville,United States,null,null,null,East Tennessee Childrens Hospital,null,865-541-8266,37916,TN,INACTIVE,4/25/20,null,FALSE,35.9553,-83.932,,,,,,,,,,,,,,Malignant Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anti-Tumor Agents,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canceranswerline@UTSouthwestern.edu,Site Public Contact,214-648-7097,CLOSED_TO_ACCRUAL,9/7/18,,5323 Harry Hines Boulevard,null,Dallas,United States,canceranswerline@UTSouthwestern.edu,Harold C. Simmons Comprehensive Cancer Center,null,UT Southwestern / Simmons Cancer Center-Dallas,ORGANIZATIONAL,214-648-7097,75390,TX,ACTIVE,5/21/15,null,FALSE,32.8432,-96.7016,,,,,,,,,,,,,,Malignant Neoplastic Disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anti-Tumor Drugs,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ctsucontact@westat.com,Site Public Contact,888-823-5923,CLOSED_TO_ACCRUAL,2/15/12,,1000 Oakland Drive,null,Kalamazoo,United States,null,null,null,Kalamazoo Center for Medical Studies,null,null,49008,MI,ACTIVE,12/30/08,null,FALSE,42.2581,-85.6154,,,,,,,,,,,,,,Malignant Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antineoplastic Drugs,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tmyrick@uab.edu,Site Public Contact,205-934-0220,TEMPORARILY_CLOSED_TO_ACCRUAL,3/18/15,,1802 Sixth Avenue South,null,Birmingham,United States,null,O’Neal Comprehensive Cancer Center,null,University of Alabama at Birmingham Cancer Center,ORGANIZATIONAL,205-934-0309,35233,AL,ACTIVE,5/17/18,null,FALSE,33.5089,-86.8014,,,,,,,,,,,,,,"NEOPLASM, MALIGNANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antineoplastics,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,269-01 76th Avenue,null,New Hyde Park,United States,null,null,null,The Steven and Alexandra Cohen Children's Medical Center of New York,null,718-470-3470,11040,NY,ACTIVE,7/15/19,null,FALSE,40.7459,-73.6798,,,,,,,,,,,,,,"Neoplasm, malignant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antiproliferative Agents,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,207-973-4274,CLOSED_TO_ACCRUAL,9/7/18,,489 State Street,null,Bangor,United States,null,null,null,Eastern Maine Medical Center,null,207-973-4274,4401,ME,ACTIVE,9/6/16,null,FALSE,44.8521,-68.8311,,,,,,,,,,,,,,"Tumor, malignant, NOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antiproliferative Drugs,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,888-275-3853,CLOSED_TO_ACCRUAL,9/15/14,,2301 Erwin Road,null,Durham,United States,null,Duke Cancer Institute,919-684-5653,Duke University Medical Center,ORGANIZATIONAL,888-275-3853,27710,NC,ACTIVE,6/4/10,null,FALSE,35.9995,-78.94,,,,,,,,,,,,,,"Unclassified tumor, malignant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer Drug,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,908-522-2043,CLOSED_TO_ACCRUAL,8/14/12,,99 Beauvoir Avenue,null,Summit,United States,null,null,null,Overlook Hospital,null,908-522-2043,7902,NJ,ACTIVE,7/27/15,null,FALSE,40.7169,-74.3609,,,,,,,,,,,,,,cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chemotherapeutic Agents, Neoplastic Disease",
